stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\段欣妤\Dropbox\我的電腦 (LAPTOP-BRB19GHV)\Desktop\大學\程設二\QAQ 2nd mini project\mini project 2 test-1\bin\Debug\allegro5.cfg r
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05468] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05468] added dtor for sample_instance 0000000002B74710, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05469] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05470] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05470] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05471] added dtor for sample_instance 0000000002B75A30, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05472] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05472] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05473] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05473] added dtor for sample_instance 0000000002B74290, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05474] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05475] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05475] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05476] added dtor for sample_instance 0000000002B745F0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05476] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05477] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05477] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05478] added dtor for sample_instance 0000000002B74B90, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05479] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05479] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05480] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05481] added dtor for sample_instance 0000000002B744D0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05481] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05482] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05482] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05483] added dtor for sample_instance 0000000002B74DD0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05483] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05484] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05485] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05485] added dtor for sample_instance 0000000002B75250, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05486] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05487] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05487] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05488] added dtor for sample_instance 0000000002B75370, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05488] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05489] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05490] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05491] added dtor for sample_instance 0000000002B74950, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05491] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05492] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05492] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05493] added dtor for sample_instance 0000000002B74830, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05493] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05494] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05495] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05495] added dtor for sample_instance 0000000002B74170, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05496] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05497] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05497] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05498] added dtor for sample_instance 0000000002B74A70, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05498] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05499] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05499] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05500] added dtor for sample_instance 0000000002B74CB0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05501] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05501] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05502] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05502] added dtor for sample_instance 0000000002B74EF0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05503] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05504] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05504] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05505] added dtor for sample_instance 0000000002B75490, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05506] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05506] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05507] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05507] added dtor for sample_instance 0000000002B755B0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05508] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05509] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05509] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05510] added dtor for sample_instance 0000000002B75B50, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05510] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05511] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05511] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05513] added dtor for sample_instance 0000000002B756D0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05513] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05514] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05515] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05515] added dtor for sample_instance 0000000002B757F0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05516] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05517] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05517] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05518] added dtor for sample_instance 0000000002B75910, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05518] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05519] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05520] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05521] added dtor for sample_instance 0000000002B78A80, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05522] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05522] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05523] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05524] added dtor for sample_instance 0000000002B782A0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05524] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05525] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05526] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05526] added dtor for sample_instance 0000000002B78960, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05527] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05528] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05528] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05529] added dtor for sample_instance 0000000002B78BA0, func 0000000061BE0583
audio    D          kcm_mixer.c:121  _al_rechannel_matrix             [   0.05530] sample matrix:
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05530] 
audio    D          kcm_mixer.c:127  _al_rechannel_matrix             [   0.05531] 
dtor     D               dtor.c:196  _al_register_destructor          [   0.05531] added dtor for sample_instance 0000000002B77400, func 0000000061BE0583
